"","COMNAME","NESPP3","SCINAME","Group"
"787","SKATES,LITTLE/WINTER MIXED","373","LEUCORAJA","Skates"
"807","SMOOTH SKATE","369","MALACORAJA SENTA","Skates"
"927","THORNY SKATE","370","AMBLYRAJA RADIATA","Skates"
"998","WINTER SKATE","367","LEUCORAJA OCELLATA","Skates"
"67","ATLANTIC HERRING","168","CLUPEA HARENGUS","Herring"
"549","OCEAN QUAHOG","754","ARCTICA ISLANDICA","Ocean Quahog"
"87","ATLANTIC SURFCLAM","769","SPISULA SOLIDISSIMA","Surf Clam"
"178","BLUELINE TILEFISH","444","CAULOLATILUS MICROPS","Tilefish"
"687","SAND TILEFISH","445","MALACANTHUS PLUMIERI","Tilefish"
"937","TILEFISH","446","LOPHOLATILUS CHAMAELEONTICEPS","Tilefish"
"938","TILEFISH,UNC","447","MALACANTHIDAE","Tilefish"
"142","BLACK SEA BASS","335","CENTROPRISTIS STRIATA","Fluke & Black Seabass"
"915","SUMMER FLOUNDER","121","PARALICHTHYS DENTATUS","Fluke & Black Seabass"
"209","BUTTERFISH","51","PEPRILUS TRIACANTHUS","Butterfish & Hake"
"640","RED HAKE","152","UROPHYCIS CHUSS","Butterfish & Hake"
"771","SILVER HAKE","509","MERLUCCIUS BILINEARIS","Butterfish & Hake"
"175","BLUEFISH","23","POMATOMUS SALTATRIX","Bluefish in Mid-Atlantic Waters"
"846","SPINY DOGFISH","352","SQUALUS ACANTHIAS","Spiny Dogfish"
"539","NORTHERN SHORTFIN SQUID","802","ILLEX ILLECEBROSUS","Northern Shortfin Squid"
"30","AMERICAN LOBSTER","727","HOMARUS AMERICANUS","American Lobster"
"467","LONGFIN SQUID","801","LOLIGO PEALEII","Longfin Squid"
"500","MENHADEN","221","BREVOORTIA","Menhaden"
"562","OFFSHORE HAKE","508","MERLUCCIUS ALBIDUS","Offshore Hake"
"707","SCUP","329","STENOTOMUS CHRYSOPS","Scup in Mid-Atlantic Waters"
"989","WINDOWPANE","125","SCOPHTHALMUS AQUOSUS","Windowpane Flounder in New England Waters"
"548","OCEAN POUT","250","ZOARCES AMERICANUS","Ocean Pout in New England Waters"
"93","ATLANTIC WOLFFISH","512","ANARHICHAS LUPUS","Wolffish"
"995","WINTER FLOUNDER","120","PSEUDOPLEURONECTES AMERICANUS","Winter Flounder in Mid-Atlantic Waters"
"1019","YELLOWTAIL FLOUNDER","123","LIMANDA FERRUGINEA","Yellowtail Flounder in Mid-Atlantic Waters"
"247","Unclassified Hake","155","","Unclassified Hake"
"976","WHITE HAKE","153","UROPHYCIS TENUIS","White Hake in Mid-Atlantic Waters"
"1751","BLUEFISH","23","POMATOMUS SALTATRIX","Bluefish & Scup in New England Waters"
"7071","SCUP","329","STENOTOMUS CHRYSOPS","Bluefish & Scup in New England Waters"
"66","ATLANTIC HALIBUT","159","HIPPOGLOSSUS HIPPOGLOSSUS","Halibut in New England Waters"
"21","ACADIAN REDFISH","240","SEBASTES FASCIATUS","Groundfish in New England Waters"
"31","AMERICAN PLAICE","124","HIPPOGLOSSOIDES PLATESSOIDES","Groundfish in New England Waters"
"52","ATLANTIC COD","81","GADUS MORHUA","Groundfish in New England Waters"
"3541","GOOSEFISH","11","LOPHIUS AMERICANUS","Groundfish in New England Waters"
"3551","GOOSEFISH","12","LOPHIUS AMERICANUS","Groundfish in New England Waters"
"378","HADDOCK","147","MELANOGRAMMUS AEGLEFINUS","Groundfish in New England Waters"
"599","POLLOCK","269","POLLACHIUS VIRENS","Groundfish in New England Waters"
"9761","WHITE HAKE","153","UROPHYCIS TENUIS","Groundfish in New England Waters"
"9951","WINTER FLOUNDER","120","PSEUDOPLEURONECTES AMERICANUS","Groundfish in New England Waters"
"1002","WITCH FLOUNDER","122","GLYPTOCEPHALUS CYNOGLOSSUS","Groundfish in New England Waters"
"10191","YELLOWTAIL FLOUNDER","123","LIMANDA FERRUGINEA","Groundfish in New England Waters"
"211","ACADIAN REDFISH","240","SEBASTES FASCIATUS","Groundfish in Mid-Atlantic Waters"
"311","AMERICAN PLAICE","124","HIPPOGLOSSOIDES PLATESSOIDES","Groundfish in Mid-Atlantic Waters"
"521","ATLANTIC COD","81","GADUS MORHUA","Groundfish in Mid-Atlantic Waters"
"661","ATLANTIC HALIBUT","159","HIPPOGLOSSUS HIPPOGLOSSUS","Groundfish in Mid-Atlantic Waters"
"931","ATLANTIC WOLFFISH","512","ANARHICHAS LUPUS","Groundfish in Mid-Atlantic Waters"
"3781","HADDOCK","147","MELANOGRAMMUS AEGLEFINUS","Groundfish in Mid-Atlantic Waters"
"5991","POLLOCK","269","POLLACHIUS VIRENS","Groundfish in Mid-Atlantic Waters"
"10021","WITCH FLOUNDER","122","GLYPTOCEPHALUS CYNOGLOSSUS","Groundfish in Mid-Atlantic Waters"
"141","Unclassified Hake","155","","Groundfish in Mid-Atlantic Waters"
"5481","OCEAN POUT","250","ZOARCES AMERICANUS","Windowpane Flounder & Ocean Pout in Mid-Atlantic Waters"
"9891","WINDOWPANE","125","SCOPHTHALMUS AQUOSUS","Windowpane Flounder & Ocean Pout in Mid-Atlantic Waters"
